original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Sempat terjadi kesalahan teknis saat link zoomnya penuh.		",Sempat terjadi kesalahan teknis saat link zoomnya penuh,sempat terjadi kesalahan teknis saat link zoomnya penuh,"['sempat', 'terjadi', 'kesalahan', 'teknis', 'saat', 'link', 'zoomnya', 'penuh']","['sempat', 'berlangsung', 'kesalahan', 'teknis', 'saat', 'tautan', 'zoom', 'penuh']","['sempat', 'berlangsung', 'kesalahan', 'teknis', 'tautan', 'zoom', 'penuh']",sempat berlangsung kesalahan teknis tautan zoom penuh,5,Teknis dan Jaringan,Negatif,,,,,,,
"pelaksanaan acaranya sudah baikk, bisa dipertahankan di acara fkmbik selanjutnya		",pelaksanaan acaranya sudah baikk bisa dipertahankan di acara fkmbik selanjutnya,pelaksanaan acaranya sudah baikk bisa dipertahankan di acara fkmbik selanjutnya,"['pelaksanaan', 'acaranya', 'sudah', 'baikk', 'bisa', 'dipertahankan', 'di', 'acara', 'fkmbik', 'selanjutnya']","['pelaksanaan', 'acara', 'sudah', 'baik', 'bisa', 'dipertahankan', 'di', 'acara', 'fkbmik', 'lanjut']","['pelaksanaan', 'acara', 'baik', 'dipertahankan', 'acara', 'fkbmik', 'lanjut']",pelaksanaan acara baik dipertahankan acara fkbmik lanjut,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Kegiatannya cukup menarik dan informatif		",Kegiatannya cukup menarik dan informatif,kegiatannya cukup menarik dan informatif,"['kegiatannya', 'cukup', 'menarik', 'dan', 'informatif']","['acara', 'cukup', 'seru', 'dan', 'informatif']","['acara', 'cukup', 'seru', 'informatif']",acara cukup seru informatif,4,Antusiasme Peserta,Positif,,,,,,,
"semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru!!		",semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru,semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru,"['semoga', 'bisa', 'memberikan', 'ilmu', 'yang', 'bermanfaat', 'lagi', 'dan', 'kedepannya', 'lebih', 'seru']","['semoga', 'bisa', 'memberi', 'pengalaman', 'yang', 'bermanfaat', 'lagi', 'dan', 'ke depannya', 'lebih', 'seru']","['semoga', 'memberi', 'pengalaman', 'bermanfaat', 'ke depannya', 'seru']",semoga memberi pengalaman bermanfaat ke depannya seru,3,Harapan Acara,Positif,,,,,,,
"semoga acara ke depannya lebih baik lagi		",semoga acara ke depannya lebih baik lagi,semoga acara ke depannya lebih baik lagi,"['semoga', 'acara', 'ke', 'depannya', 'lebih', 'baik', 'lagi']","['semoga', 'acara', 'ke', 'depan', 'lebih', 'baik', 'lagi']","['semoga', 'acara', 'depan', 'baik']",semoga acara depan baik,7,Manfaat dan Evaluasi,Negatif,,,,,,,
"kegiatan webinar ini sangat membantu sekali bagi generasi Z, karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya		",kegiatan webinar ini sangat membantu sekali bagi generasi Z karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya,kegiatan webinar ini sangat membantu sekali bagi generasi z karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya,"['kegiatan', 'webinar', 'ini', 'sangat', 'membantu', 'sekali', 'bagi', 'generasi', 'z', 'karena', 'dari', 'webinar', 'ini', 'kita', 'mendapat', 'banyak', 'sekali', 'ilmu', 'yang', 'bermanfaat', 'sebagai', 'bekal', 'kita', 'kedepannya']","['acara', 'seminar', 'ini', 'sangat', 'membantu', 'sekali', 'bagi', 'generasi', 'z', 'karena', 'dari', 'seminar', 'ini', 'kita', 'dapat', 'banyak', 'sekali', 'pengalaman', 'yang', 'bermanfaat', 'sebagai', 'bekal', 'kita', 'ke depannya']","['acara', 'seminar', 'membantu', 'sekali', 'generasi', 'z', 'seminar', 'banyak', 'sekali', 'pengalaman', 'bermanfaat', 'bekal', 'ke depannya']",acara seminar membantu sekali generasi z seminar banyak sekali pengalaman bermanfaat bekal ke depannya,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Webinar nya sangat menarik		",Webinar nya sangat menarik,webinar nya sangat menarik,"['webinar', 'nya', 'sangat', 'menarik']","['seminar', 'nya', 'sangat', 'seru']","['seminar', 'seru']",seminar seru,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Saran : mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi		",Saran mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi,saran mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi,"['saran', 'mungkin', 'lain', 'kali', 'bisa', 'diadakan', 'kegiatan', 'webinar', 'seperti', 'ini', 'kembali', 'dengan', 'tema', 'yang', 'lebih', 'menarik', 'lagi']","['usulan', 'mungkin', 'lain', 'kali', 'bisa', 'mengadakan', 'acara', 'seminar', 'seperti', 'ini', 'kembali', 'dengan', 'tema', 'yang', 'lebih', 'seru', 'lagi']","['usulan', 'mungkin', 'kali', 'mengadakan', 'acara', 'seminar', 'tema', 'seru']",usulan mungkin kali mengadakan acara seminar tema seru,3,Harapan Acara,Positif,,,,,,,
"Infomasinya menarik dan jelas		",Infomasinya menarik dan jelas,infomasinya menarik dan jelas,"['infomasinya', 'menarik', 'dan', 'jelas']","['penyampaian', 'seru', 'dan', 'jelas']","['penyampaian', 'seru', 'jelas']",penyampaian seru jelas,2,Materi dan Narasumber,Positif,,,,,,,
"materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini.		",materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini,materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini,"['materi', 'yang', 'dipilih', 'untuk', 'webinar', 'kali', 'ini', 'sangat', 'menarik', 'karena', 'berhubungan', 'dengan', 'generasi', 'ada', 'jaman', 'ini']","['materi', 'yang', 'pilih', 'untuk', 'seminar', 'kali', 'ini', 'sangat', 'seru', 'karena', 'relevan', 'dengan', 'generasi', 'ada', 'zaman', 'ini']","['materi', 'pilih', 'seminar', 'kali', 'seru', 'relevan', 'generasi', 'zaman']",materi pilih seminar kali seru relevan generasi zaman,2,Materi dan Narasumber,Positif,,,,,,,
"Menurut saya pelaksanaannya sudah baik.		",Menurut saya pelaksanaannya sudah baik,menurut saya pelaksanaannya sudah baik,"['menurut', 'saya', 'pelaksanaannya', 'sudah', 'baik']","['menurut', 'saya', 'pelaksanaan', 'sudah', 'baik']","['pelaksanaan', 'baik']",pelaksanaan baik,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Acara sudah berjalan dengan lancar, terimakasih:)		",Acara sudah berjalan dengan lancar terimakasih,acara sudah berjalan dengan lancar terimakasih,"['acara', 'sudah', 'berjalan', 'dengan', 'lancar', 'terimakasih']","['acara', 'sudah', 'terlaksana', 'dengan', 'sukses', 'terima kasih']","['acara', 'terlaksana', 'sukses', 'terima kasih']",acara terlaksana sukses terima kasih,1,Kesuksesan Acara,Positif,,,,,,,
"MATERI BAGUS		",MATERI BAGUS,materi bagus,"['materi', 'bagus']","['materi', 'keren']","['materi', 'keren']",materi keren,2,Materi dan Narasumber,Positif,,,,,,,
"Lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya		",Lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya,lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya,"['lebih', 'baik', 'lebih', 'pemateri', 'nya', 'yang', 'bisa', 'mengajak', 'interaksi', 'pesertanya']","['lebih', 'baik', 'lebih', 'narasumber', 'nya', 'yang', 'bisa', 'ajak', 'interaksi', 'peserta']","['baik', 'narasumber', 'ajak', 'interaksi', 'peserta']",baik narasumber ajak interaksi peserta,2,Materi dan Narasumber,Negatif,,,,,,,
"acara sudah bagus		",acara sudah bagus,acara sudah bagus,"['acara', 'sudah', 'bagus']","['acara', 'sudah', 'keren']","['acara', 'keren']",acara keren,1,Kesuksesan Acara,Positif,,,,,,,
"Acara bagus sangat bermanfaat		",Acara bagus sangat bermanfaat,acara bagus sangat bermanfaat,"['acara', 'bagus', 'sangat', 'bermanfaat']","['acara', 'keren', 'sangat', 'bermanfaat']","['acara', 'keren', 'bermanfaat']",acara keren bermanfaat,1,Kesuksesan Acara,Positif,,,,,,,
"acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube		",acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube,acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube,"['acaranya', 'bagus', 'bgt', 'buat', 'nambah', 'wawasan', 'walaupun', 'streamin', 'di', 'youtube']","['acara', 'keren', 'banget', 'buat', 'tambah', 'pengalaman', 'walaupun', 'siaran langsung', 'di', 'youtube']","['acara', 'keren', 'banget', 'buat', 'tambah', 'pengalaman', 'walaupun', 'siaran langsung', 'youtube']",acara keren banget buat tambah pengalaman walaupun siaran langsung youtube,1,Kesuksesan Acara,Positif,,,,,,,
"Manurut saya acara webinar ini sudah menarik dan banyak hal-hal yang saya pelajari dari webinar ini		",Manurut saya acara webinar ini sudah menarik dan banyak halhal yang saya pelajari dari webinar ini,manurut saya acara webinar ini sudah menarik dan banyak halhal yang saya pelajari dari webinar ini,"['manurut', 'saya', 'acara', 'webinar', 'ini', 'sudah', 'menarik', 'dan', 'banyak', 'halhal', 'yang', 'saya', 'pelajari', 'dari', 'webinar', 'ini']","['menurut', 'saya', 'acara', 'seminar', 'ini', 'sudah', 'seru', 'dan', 'banyak', 'hal', 'yang', 'saya', 'belajar', 'dari', 'seminar', 'ini']","['acara', 'seminar', 'seru', 'banyak', 'belajar', 'seminar']",acara seminar seru banyak belajar seminar,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Seru banget, ilmu nya semoga Bermanfaat buat semuanya yang hdir		",Seru banget ilmu nya semoga Bermanfaat buat semuanya yang hdir,seru banget ilmu nya semoga bermanfaat buat semuanya yang hdir,"['seru', 'banget', 'ilmu', 'nya', 'semoga', 'bermanfaat', 'buat', 'semuanya', 'yang', 'hdir']","['seru', 'sekali', 'pengalaman', 'nya', 'semoga', 'bermanfaat', 'buat', 'semua', 'yang', 'hadir']","['seru', 'sekali', 'pengalaman', 'semoga', 'bermanfaat', 'buat', 'hadir']",seru sekali pengalaman semoga bermanfaat buat hadir,7,Manfaat dan Evaluasi,Positif,,,,,,,
"semoga kedepannya selalu tepat waktu		",semoga kedepannya selalu tepat waktu,semoga kedepannya selalu tepat waktu,"['semoga', 'kedepannya', 'selalu', 'tepat', 'waktu']","['semoga', 'ke depannya', 'selalu', 'tepat', 'waktu']","['semoga', 'ke depannya', 'selalu', 'tepat', 'waktu']",semoga ke depannya selalu tepat waktu,3,Harapan Acara,Positif,,,,,,,
"Acaranya sudah sangat baik		",Acaranya sudah sangat baik,acaranya sudah sangat baik,"['acaranya', 'sudah', 'sangat', 'baik']","['acara', 'sudah', 'sangat', 'baik']","['acara', 'baik']",acara baik,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga kegiatan kedepan lebih menarik kembali		",Semoga kegiatan kedepan lebih menarik kembali,semoga kegiatan kedepan lebih menarik kembali,"['semoga', 'kegiatan', 'kedepan', 'lebih', 'menarik', 'kembali']","['semoga', 'acara', 'ke depannya', 'lebih', 'seru', 'kembali']","['semoga', 'acara', 'ke depannya', 'seru']",semoga acara ke depannya seru,3,Harapan Acara,Positif,,,,,,,
"terima kasih untuk pemateri atas ilmunya		",terima kasih untuk pemateri atas ilmunya,terima kasih untuk pemateri atas ilmunya,"['terima', 'kasih', 'untuk', 'pemateri', 'atas', 'ilmunya']","['terima', 'kasih', 'untuk', 'narasumber', 'atas', 'pengalaman']","['terima', 'kasih', 'narasumber', 'atas', 'pengalaman']",terima kasih narasumber atas pengalaman,2,Materi dan Narasumber,Positif,,,,,,,
"Semoga acara berjalan dengan baik dan lancar.		",Semoga acara berjalan dengan baik dan lancar,semoga acara berjalan dengan baik dan lancar,"['semoga', 'acara', 'berjalan', 'dengan', 'baik', 'dan', 'lancar']","['semoga', 'acara', 'terlaksana', 'dengan', 'baik', 'dan', 'sukses']","['semoga', 'acara', 'terlaksana', 'baik', 'sukses']",semoga acara terlaksana baik sukses,3,Harapan Acara,Positif,,,,,,,
"Untuk total orang yang bisa mengikuti zoom bisa di perbanyak lagi.		",Untuk total orang yang bisa mengikuti zoom bisa di perbanyak lagi,untuk total orang yang bisa mengikuti zoom bisa di perbanyak lagi,"['untuk', 'total', 'orang', 'yang', 'bisa', 'mengikuti', 'zoom', 'bisa', 'di', 'perbanyak', 'lagi']","['untuk', 'total', 'narasumber', 'yang', 'bisa', 'ikut', 'zoom', 'bisa', 'di', 'banyak', 'lagi']","['total', 'narasumber', 'ikut', 'zoom', 'banyak']",total narasumber ikut zoom banyak,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Seru banget tidak ada kritik dan saran		",Seru banget tidak ada kritik dan saran,seru banget tidak ada kritik dan saran,"['seru', 'banget', 'tidak', 'ada', 'kritik', 'dan', 'saran']","['seru', 'sekali', 'tidak', 'ada', 'kritik', 'dan', 'usulan']","['seru', 'sekali', 'kritik', 'usulan']",seru sekali kritik usulan,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Saya sudah join dari sebelum acara di mulai tetapi saat acara sudah dimulai ada kendala jaringan sehingga keluar dari room tapi tidak bisa kembali join karena keterbatasan room zoom.		",Saya sudah join dari sebelum acara di mulai tetapi saat acara sudah dimulai ada kendala jaringan sehingga keluar dari room tapi tidak bisa kembali join karena keterbatasan room zoom,saya sudah join dari sebelum acara di mulai tetapi saat acara sudah dimulai ada kendala jaringan sehingga keluar dari room tapi tidak bisa kembali join karena keterbatasan room zoom,"['saya', 'sudah', 'join', 'dari', 'sebelum', 'acara', 'di', 'mulai', 'tetapi', 'saat', 'acara', 'sudah', 'dimulai', 'ada', 'kendala', 'jaringan', 'sehingga', 'keluar', 'dari', 'room', 'tapi', 'tidak', 'bisa', 'kembali', 'join', 'karena', 'keterbatasan', 'room', 'zoom']","['saya', 'sudah', 'gabung', 'dari', 'sebelum', 'acara', 'di', 'mulai', 'tetapi', 'saat', 'acara', 'sudah', 'mulai', 'ada', 'kendala', 'jaringan', 'sehingga', 'keluar', 'dari', 'ruang', 'tetapi', 'tidak', 'bisa', 'kembali', 'gabung', 'karena', 'terbatas', 'ruang', 'zoom']","['gabung', 'acara', 'mulai', 'acara', 'mulai', 'kendala', 'jaringan', 'keluar', 'ruang', 'gabung', 'terbatas', 'ruang', 'zoom']",gabung acara mulai acara mulai kendala jaringan keluar ruang gabung terbatas ruang zoom,5,Teknis dan Jaringan,Negatif,,,,,,,
"accara sangat baik dan tidak ada kendala		",accara sangat baik dan tidak ada kendala,accara sangat baik dan tidak ada kendala,"['accara', 'sangat', 'baik', 'dan', 'tidak', 'ada', 'kendala']","['acara', 'sangat', 'baik', 'dan', 'tidak', 'ada', 'kendala']","['acara', 'baik', 'kendala']",acara baik kendala,1,Kesuksesan Acara,Positif,,,,,,,
"Bagus dan seru acaranya serta banyak ilmu yang bisa diambil dari acara webinar nasional ini		",Bagus dan seru acaranya serta banyak ilmu yang bisa diambil dari acara webinar nasional ini,bagus dan seru acaranya serta banyak ilmu yang bisa diambil dari acara webinar nasional ini,"['bagus', 'dan', 'seru', 'acaranya', 'serta', 'banyak', 'ilmu', 'yang', 'bisa', 'diambil', 'dari', 'acara', 'webinar', 'nasional', 'ini']","['keren', 'dan', 'seru', 'acara', 'serta', 'banyak', 'pengalaman', 'yang', 'bisa', 'ambil', 'dari', 'acara', 'seminar', 'nasional', 'ini']","['keren', 'seru', 'acara', 'banyak', 'pengalaman', 'ambil', 'acara', 'seminar', 'nasional']",keren seru acara banyak pengalaman ambil acara seminar nasional,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Kegiatan yang sangat bermanfaat		",Kegiatan yang sangat bermanfaat,kegiatan yang sangat bermanfaat,"['kegiatan', 'yang', 'sangat', 'bermanfaat']","['acara', 'yang', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"mungkin kedepannya sesi tanya jawab bisa di perpanjang		",mungkin kedepannya sesi tanya jawab bisa di perpanjang,mungkin kedepannya sesi tanya jawab bisa di perpanjang,"['mungkin', 'kedepannya', 'sesi', 'tanya', 'jawab', 'bisa', 'di', 'perpanjang']","['mungkin', 'ke depannya', 'sesi', 'tanya', 'jawab', 'bisa', 'di', 'perpanjang']","['mungkin', 'ke depannya', 'sesi', 'tanya', 'jawab', 'perpanjang']",mungkin ke depannya sesi tanya jawab perpanjang,3,Harapan Acara,Negatif,,,,,,,
"acaranya berlangsung dengan baik dan baguss		",acaranya berlangsung dengan baik dan baguss,acaranya berlangsung dengan baik dan baguss,"['acaranya', 'berlangsung', 'dengan', 'baik', 'dan', 'baguss']","['acara', 'dilaksanakan', 'dengan', 'baik', 'dan', 'keren']","['acara', 'dilaksanakan', 'baik', 'keren']",acara dilaksanakan baik keren,1,Kesuksesan Acara,Positif,,,,,,,
"keren banget acaranya dan pembicaranya juga keren-keren jadi dapet banyak ilmu baru		",keren banget acaranya dan pembicaranya juga kerenkeren jadi dapet banyak ilmu baru,keren banget acaranya dan pembicaranya juga kerenkeren jadi dapet banyak ilmu baru,"['keren', 'banget', 'acaranya', 'dan', 'pembicaranya', 'juga', 'kerenkeren', 'jadi', 'dapet', 'banyak', 'ilmu', 'baru']","['keren', 'sekali', 'acara', 'dan', 'narasumber', 'juga', 'keren', 'jadi', 'dapat', 'banyak', 'pengalaman', 'inovatif']","['keren', 'sekali', 'acara', 'narasumber', 'keren', 'banyak', 'pengalaman', 'inovatif']",keren sekali acara narasumber keren banyak pengalaman inovatif,2,Materi dan Narasumber,Positif,,,,,,,
"Acara berjalan dengan baik dan lancar, penyampaian materi juga menarik		",Acara berjalan dengan baik dan lancar penyampaian materi juga menarik,acara berjalan dengan baik dan lancar penyampaian materi juga menarik,"['acara', 'berjalan', 'dengan', 'baik', 'dan', 'lancar', 'penyampaian', 'materi', 'juga', 'menarik']","['acara', 'terlaksana', 'dengan', 'baik', 'dan', 'sukses', 'penyampaian', 'materi', 'juga', 'seru']","['acara', 'terlaksana', 'baik', 'sukses', 'penyampaian', 'materi', 'seru']",acara terlaksana baik sukses penyampaian materi seru,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sudah berjalan dengan baik		",Acara sudah berjalan dengan baik,acara sudah berjalan dengan baik,"['acara', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Lebih banyak lagi Webinarnya..mantaap		",Lebih banyak lagi Webinarnya mantaap,lebih banyak lagi webinarnya mantaap,"['lebih', 'banyak', 'lagi', 'webinarnya', 'mantaap']","['lebih', 'banyak', 'lagi', 'seminar', 'baik']","['banyak', 'seminar', 'baik']",banyak seminar baik,3,Harapan Acara,Positif,,,,,,,
"Mantap, semoga tahun depan bisa lebih bagus lagi, amiin		",Mantap semoga tahun depan bisa lebih bagus lagi amiin,mantap semoga tahun depan bisa lebih bagus lagi amiin,"['mantap', 'semoga', 'tahun', 'depan', 'bisa', 'lebih', 'bagus', 'lagi', 'amiin']","['baik', 'semoga', 'waktu', 'depan', 'bisa', 'lebih', 'keren', 'lagi', 'amin']","['baik', 'semoga', 'waktu', 'depan', 'keren']",baik semoga waktu depan keren,3,Harapan Acara,Positif,,,,,,,
"Acaranya sangat bermanfaat		",Acaranya sangat bermanfaat,acaranya sangat bermanfaat,"['acaranya', 'sangat', 'bermanfaat']","['acara', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"webinar ini bermanfaat banget buat generasi z karena sebagai pembelajaran peran generasi z dalam mewujudkan tatanan kehidupan baru dunia digital pasca pandemi covid 19		",webinar ini bermanfaat banget buat generasi z karena sebagai pembelajaran peran generasi z dalam mewujudkan tatanan kehidupan baru dunia digital pasca pandemi covid,webinar ini bermanfaat banget buat generasi z karena sebagai pembelajaran peran generasi z dalam mewujudkan tatanan kehidupan baru dunia digital pasca pandemi covid,"['webinar', 'ini', 'bermanfaat', 'banget', 'buat', 'generasi', 'z', 'karena', 'sebagai', 'pembelajaran', 'peran', 'generasi', 'z', 'dalam', 'mewujudkan', 'tatanan', 'kehidupan', 'baru', 'dunia', 'digital', 'pasca', 'pandemi', 'covid']","['seminar', 'ini', 'bermanfaat', 'sekali', 'buat', 'generasi', 'z', 'karena', 'sebagai', 'belajar', 'peran', 'generasi', 'z', 'dalam', 'menghasilkan', 'tatanan', 'kehidupan', 'inovatif', 'dunia', 'digital', 'pasca', 'pandemi', 'covid']","['seminar', 'bermanfaat', 'sekali', 'buat', 'generasi', 'z', 'belajar', 'peran', 'generasi', 'z', 'menghasilkan', 'tatanan', 'kehidupan', 'inovatif', 'dunia', 'digital', 'pasca', 'pandemi', 'covid']",seminar bermanfaat sekali buat generasi z belajar peran generasi z menghasilkan tatanan kehidupan inovatif dunia digital pasca pandemi covid,7,Manfaat dan Evaluasi,Positif,,,,,,,
